tool,ecosystem,feature,capability_status,evidence_quality,evidence_url,cited_version,retrieved_at,notes
SciPy stats,Python,MLE and MM fitting,supported,primary,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.rv_continuous.fit.html,current docs,2026-08-20,No frozen release claim; continuous fit documents MLE default and MM option
SciPy stats,Python,left right interval censored MLE,supported,primary,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.CensoredData.html,current docs,2026-08-20,No frozen release claim; CensoredData accepted by continuous distribution fit
SciPy stats,Python,estimated-parameter refit Monte-Carlo GoF,supported,primary,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.goodness_of_fit.html,current docs,2026-08-20,Finite uncensored data; KS AD CvM Filliben and refit each sample
SciPy stats,Python,mixture representation,partial,primary,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.Mixture.html,current docs,2026-08-20,Representation documented; generic mixture fitting not established
statsmodels,Python,survival and duration modelling,partial,primary,https://www.statsmodels.org/stable/duration.html,stable docs,2026-08-20,Adjacent model family not generic distribution selection
OpenTURNS,Python/C++,distribution factories and parameter uncertainty,supported,primary,https://openturns.github.io/openturns/latest/user_manual/_generated/openturns.DistributionFactory.html,latest docs,2026-08-20,Factory build and buildEstimator documented
OpenTURNS,Python/C++,Lilliefors model selection,supported,primary,https://openturns.github.io/openturns/latest/user_manual/_generated/openturns.FittingTest.BestModelLilliefors.html,latest docs,2026-08-20,Selection documented; calibration table not assessed
SurPyval,Python,censoring truncation and multiple estimators,partial,official_secondary,https://surpyval.readthedocs.io/,latest docs,2026-08-20,Docs list MLE MPP MSE MOM MPS with data-semantic coverage
SurPyval,Python,mixture fitting,partial,official_secondary,https://surpyval.readthedocs.io/en/latest/Parametric%20SurPyval%20Modelling.html,latest docs,2026-08-20,Mixture described; coverage depends on data semantics
reliability,Python,reliability fit with right-censored data,partial,official_secondary,https://reliability.readthedocs.io/_/downloads/en/latest/pdf/,latest docs,2026-08-20,Family-specific reliability product
fitter,Python,multi-distribution scan and SSE AIC BIC KS,partial,official_secondary,https://fitter.readthedocs.io/en/latest/references.html,1.8.0 docs,2026-08-20,No refit GoF claim documented
distfit,Python,multi-family fitting,partial,official_secondary,https://erdogant.github.io/distfit/,latest docs,2026-08-20,Exact capability matrix requires version audit
Phitter,Python,distribution fitting and three GoF tests,partial,paper,https://joss.theoj.org/papers/10.21105/joss.07625,2025,2026-08-20,JOSS paper; refit calibration not established
lifelines,Python,parametric survival covariates,partial,official_secondary,https://lifelines.readthedocs.io/,latest docs,2026-08-20,Not a general distribution selection package
lmoments3,Python,L-moment calculation and fitting,supported,official_secondary,https://lmoments3.readthedocs.io/stable/api.html,1.0.8,2026-08-20,Selected distributions; streaming not documented
pyextremes,Python,extreme value workflow,partial,official_secondary,https://georgebv.github.io/pyextremes/,latest docs,2026-08-20,Direct general fitting scope limited
PreliZ,Python,Bayesian prior elicitation,partial,official_secondary,https://preliz.readthedocs.io/,current docs,2026-08-20,Adjacent not automatic general selection
